,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 10Y,585917.6861661683,85779.07127068972,465662.6281188909,0.832,1.1603841609750492,1.5207313259042317,0.22080071216776784,-0.005859507532257169,-0.005859507532257169,438865.11936031724,408836.3936859916
bench7/3 10Y,590551.1830511562,90404.86971861753,460901.7242232075,0.836,1.062276109059123,1.400980808249539,0.29007082002066453,-0.005824632107514827,-0.005824632107514827,400333.9354794562,387016.8607522094
bench5/5 10Y,573185.3020396539,88391.22905835086,462712.13257261756,0.768,1.1685393312309285,1.5269906921214984,0.1741580854067404,-0.0059034409664619905,-0.0058506869631549385,373290.26911429275,373290.26911429275
max uti 10Y,885572.3341991841,180059.65675919823,0.0,1.0,1.1795218698679266,1.7465281076729753,0.21143784996447484,-0.010030500286210442,-0.010030500286210442,578362.3395829103,578362.3395829103
max sortino 10Y,799579.4770862565,168399.46414897178,487837.25495070365,0.984,1.6593255972549388,2.282829671690403,0.15331594120840225,-0.009171672850605939,-0.009063349453023783,487837.25495070365,487837.25495070365
min mdd 10Y,786253.691531014,162648.1300011068,474764.7228397284,0.988,1.628890839118569,2.266256083281883,0.13802736972593732,-0.009048289596990127,-0.008870108061217286,474764.72283972835,474764.7228397284
mc max uti 10Y,991039.8421218373,196263.6741474815,0.0,1.0,1.4769910681321863,2.0576579289928505,0.21582635004700726,-0.011825409584068414,-0.011619296359684691,628751.1861201217,618976.8882634724
mc max sortino 10Y,786635.4329422645,159705.5400824684,480479.1219738196,0.994,1.6791600965489804,2.3008494355121183,0.1885514565294788,-0.009020166379729133,-0.008958139743822868,522356.6794723442,508397.4936395027
mc min dd 10Y,622777.3847962305,95181.1530143624,472191.3679719054,0.928,1.1308192334771934,1.6338959332144158,0.13443756517392536,-0.006653591833881256,-0.006653591833881256,442116.1658519752,429507.26528460486
mc max prob 10Y,702037.0403729874,120927.28157875808,483067.73511103325,0.982,1.2305112289632154,1.7661017297754429,0.15623510073317223,-0.008657606476789814,-0.008469718516807001,490802.6070541548,483067.73511103325
