,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 10Y,639982.1040785331,93633.45839023039,450300.42652165156,0.982,1.150942345250249,1.5103440362779874,0.22030627167610933,1.0355617244318873,1.0224850075633551,-60632.0549129704,-62699.33323957847
bench7/3 10Y,646248.9049638988,93542.64960039285,444737.73370184324,0.964,1.06168913096199,1.3999092544936615,0.2817383629111597,1.007576237624637,1.0075762376246369,-73494.92849321815,-73494.92849321809
bench5/5 10Y,631086.5357941012,91381.77222197333,446970.8750075026,0.97,1.1695460893614837,1.5318634685168562,0.17382656853978734,1.0266691675363706,1.0202477689090312,-63569.28339185554,-68090.67814689729
max uti 10Y,990015.7284497285,196696.72268119268,0.0,1.0,1.1903454622339464,1.762459437607668,0.21115554879565454,2.6255399704033713,2.590743122558373,164183.0304050065,124667.75921030855
max sortino 10Y,888184.300683939,162990.83874331685,0.0,1.0,1.6751805653192617,2.297552439610844,0.15567197370645186,2.044951684154373,2.0184915840589555,106387.27030722634,57259.99918893259
min mdd 10Y,849692.6318462237,155571.93377362075,0.0,1.0,1.6181364922980637,2.240526282571449,0.1397562263047223,1.9007711686513877,1.8802470735740946,43263.637503281934,39748.03337913891
mc max uti 10Y,1094716.669769352,204000.60699739947,0.0,1.0,1.466177520683812,2.050581289223518,0.21712408877772488,2.8147192533437013,2.814719253343701,194224.37855030922,179405.25735907373
mc max sortino 10Y,866173.3350961615,154822.67922870143,0.0,1.0,1.6717569421299963,2.28239637454694,0.18903697760236948,1.9370945690820052,1.8945020665784544,56789.97768423136,53731.896737953066
mc min dd 10Y,678063.4919589702,101659.89663417316,486166.8077691735,0.988,1.1199074511082334,1.614657847114287,0.1345538888153384,1.280455792226367,1.2161833990835982,-9766.2590108047,-14650.508792052395
mc max prob 10Y,772091.0045706702,134239.827211623,0.0,1.0,1.2262866388069829,1.7640690027447403,0.15760113845631735,1.6508792613600822,1.650879261360082,22430.92305030499,22420.78770051658
