month,SPY,TLT,BAB,VOL,rf
2019-11-01,0.036170485,-0.004911518,-0.0281,-0.008551373,0.0012
2013-02-01,0.013494303,0.012934469,0.0187,-0.049477978,0.0
2008-05-01,0.012861845,-0.024559872,0.0085,0.006353632,0.0018
2015-02-01,0.057365243,-0.058042237,-0.0209,-0.002007303,0.0
2006-05-01,-0.028781697,0.001218952,0.0025,0.005858313,0.0043
2014-02-01,0.04552083,0.008472587,-0.0015,-0.018946269,0.0
2005-08-01,-0.009107837,0.033583311,0.0027,0.004489948,0.003
2015-11-01,0.002900252,-0.008687659,0.0138,0.021367443,0.0
2009-12-01,0.01944675,-0.062251255,0.0097,0.007725561,0.0001
2015-05-01,0.012763741,-0.01813208,0.0263,-0.02037626,0.0
2014-06-01,0.020456777,-0.001955957,-0.004,-0.056459889,0.0
2018-03-01,-0.025513039,0.031125431,0.026,0.038340019,0.0011
2015-08-01,-0.060165671,3.42e-05,-0.016,0.045352908,0.0
2008-01-01,-0.059954296,0.020471644,-0.0244,0.009336241,0.0021
2012-04-01,-0.006343019,0.046540566,0.0289,0.006111318,0.0
2010-09-01,0.088858763,-0.022508837,-0.0119,0.008445378,0.0001
2004-04-01,-0.015685615,-0.062334515,0.0002,0.006125572,0.0008
2009-05-01,0.055704095,-0.03580918,0.0648,0.010305499,0.0
2013-01-01,0.051696653,-0.038647739,0.044,-0.048546557,0.0
2021-03-01,0.043653858,-0.051889736,-0.0295,0.006913094,0.0
2010-11-01,0.000102988,-0.012639346,-0.005,0.008388363,0.0001
2011-08-01,-0.054372938,0.099746968,0.0075,0.011267631,0.0001
2003-03-01,0.009345697,-0.016743079,0.0107,0.010387458,0.001
2014-04-01,0.007287563,0.02198366,0.0025,0.020816474,0.0
2008-12-01,0.010755043,0.134110423,-0.0757,0.014253802,0.0
2007-03-01,0.01110809,-0.017547189,0.0006,0.005216892,0.0043
2021-08-01,0.030281855,-0.002612358,0.0039,0.005872566,0.0
2022-02-01,-0.029961672,-0.016364891,-0.0206,0.010743803,0.0
2014-11-01,0.026783117,0.029238246,0.0248,-0.030792923,0.0
2005-05-01,0.031648959,0.03053524,-0.0186,0.004735826,0.0024
2018-04-01,0.003757533,-0.01960556,0.0013,0.032431406,0.0014
2022-01-01,-0.051802583,-0.038487508,-0.0042,0.008848048,0.0
2016-08-01,0.001330292,-0.00913501,-0.018,0.007132636,0.0002
2006-07-01,0.006088628,0.020925321,0.0202,0.005327358,0.004
2008-10-01,-0.167891913,-0.019792459,-0.0534,0.021341505,0.0008
2011-11-01,-0.00227183,0.030482895,0.0058,0.009906392,0.0
